title,year,domestic_gross,foreign_gross
10 cloverfield lane,2016,72082999,36203423
10 days in a madhouse,2015,14616,0
12 strong,2018,45819713,25298665
12 years a slave,2013,56671993,124353350
127 hours,2010,18335230,41881941
13 hours the secret soldiers of benghazi,2016,52853219,16558151
13 sins,2014,9134,38418
2 guns,2013,75612460,56880555
21 jump street,2012,138447667,64364762
22 jump street,2014,191719337,139614539
23 blast,2014,549185,0
3 days to kill,2014,30697999,8261901
30 minutes or less,2011,37053924,3912792
300 rise of an empire,2014,106580051,224200000
31,2016,779820,142907
42,2013,95020213,2450488
47 ronin,2013,38362475,113354340
5 days of war,2011,17479,70314
50 to 1,2014,1069454,0
5050,2011,35016118,6318617
8 the mormon proposition,2010,100280,0
90 minutes in heaven,2015,4816142,0
a bad moms christmas,2017,72110659,55599891
a better life,2011,1759252,124999
a dangerous method,2011,5702083,9105448
a ghost story,2017,1594798,1174984
a good day to die hard,2013,67349198,236900000
a haunted house,2013,40041683,19880875
a haunted house 2,2014,17329487,3877374
a hologram for the king,2016,4212494,7633516
a most violent year,2014,5749134,3097741
a most wanted man,2014,17237855,18831035
a nightmare on elm street,2010,63075011,54654610
a quiet place,2018,188024361,146497933
a simple favor,2018,53548586,44080131
a street cat named bob,2016,82703,17299990
a thousand words,2012,18450127,2340359
a true story,2013,0,0
a walk among the tombstones,2014,26017685,36090902
a walk in the woods,2015,29499394,7619964
a wrinkle in time,2018,100478608,32923274
abduction,2011,28087155,58561204
about last night,2014,48637684,1808176
about time,2013,15323921,73985257
above and beyond,2015,288751,0
abraham lincoln vampire hunter,2012,37519139,99970591
absentia,2011,0,8555
accidental love,2015,0,135436
acrimony,2018,43549096,3078740
act of valor,2012,70012847,12484188
action point,2018,5059608,44067
addicted,2014,17390770,108472
admission,2013,18007317,726349
adrift,2018,31445011,26452180
adulterers,2016,0,0
after,2012,0,0
after earth,2013,60522097,190977568
against the wild,2014,0,0
aint them bodies saints,2013,391611,683398
air strike,2018,0,516279
albert nobbs,2011,3014696,5524307
alex cross,2012,25888412,9538347
alexander and the terrible horrible no good very bad day,2014,66954149,34425138
alice in wonderland,2010,334191110,691300000
alice through the looking glass,2016,77042381,199885731
alien covenant,2017,74262031,164259216
all eyez on me,2017,44922302,9954553
all good things,2010,582024,291593
all saints,2017,5802208,139786
all superheroes must die,2013,0,0
all the boys love mandy lane,2013,0,1960521
allied,2016,40098064,79168597
almost christmas,2016,42065185,428321
aloft,2015,53086,184602
aloha,2015,21052030,4335061
alpha,2018,35851379,63773494
alvin and the chipmunks chipwrecked,2011,133107389,215981134
alvin and the chipmunks the road chip,2015,85886987,163630969
american assassin,2017,36249674,32060466
american heist,2015,0,2341218
american hero,2015,0,26
american honey,2016,663247,1948503
american hustle,2013,150117807,107760487
american made,2017,51342000,84227212
american reunion,2012,56758835,180040376
american sniper,2014,350126372,197200000
american ultra,2015,14439985,15855043
amigo,2011,184705,0
amnesiac,2015,0,0
amour,2012,6738954,30048090
anchorman 2 the legend continues,2013,127352707,44833047
and so it goes,2014,15160801,2759212
andersons cross,2010,0,0
animal kingdom,2010,1044039,7034644
anna karenina,2012,12816367,58188260
annabelle,2014,84273813,172589107
annabelle creation,2017,102092201,203292664
annie,2014,85911262,53918363
annihilation,2018,32732301,10338614
anomalisa,2015,3759286,1946882
anonymous,2011,4463292,11352217
another earth,2011,1321194,781585
another happy day,2011,9120,969407
another year,2010,3205706,16799907
antibirth,2016,0,0
antiviral,2013,0,123407
antman,2015,180202163,338656286
antman and the wasp,2018,216648740,406495920
apollo 18,2011,17686929,8830890
aquaman,2018,335061807,811832833
arbitrage,2012,7919574,27911139
area 51,2015,7556,0
argo,2012,136025503,91115254
aroused,2013,0,0
arrival,2016,100546139,102581755
arrowhead,2017,0,0
arthur,2011,33035397,14752546
arthur christmas,2011,46462469,103254655
as above so below,2014,21222315,20601751
as it is in heaven,2014,13486,0
atlas shrugged part ii,2012,3336053,0
atomic blonde,2017,51573925,46771498
attack the block,2011,1024175,5435008
august osage county,2013,37738810,13000000
avengers age of ultron,2015,459005868,944008095
avengers infinity war,2018,678815482,1369318718
awol72,2015,0,0
