imdb_title_id,title,year,genre,duration,avg_vote,votes,language
tt0137204,joe finds grace,2017,"Animation, Adventure, Comedy",83,8.8,264,English
tt0249516,foodfight,2011,"Animation, Action, Adventure",91,1.5,9183,English
tt0255820,return to babylon,2013,"Biography, Comedy, Drama",75,5.9,144,English
tt0285252,lifes a beach,2012,Comedy,100,3.7,226,English
tt0323808,the wicker tree,2011,"Drama, Horror",96,3.8,2465,English
tt0326716,77,2017,"Comedy, Drama",113,6.1,304,English
tt0331314,bunyan and babe,2017,"Animation, Adventure, Comedy",84,5.0,339,English
tt0339736,the evil within,2017,Horror,98,5.5,2914,English
tt0359950,i sogni segreti di walter mitty,2013,"Comedy, Drama, Fantasy",114,7.3,288525,"English, Spanish, Icelandic"
tt0365907,la preda perfetta,2014,"Action, Crime, Drama",114,6.5,110683,"English, Spanish, Urdu, Russian"
tt0369610,jurassic world,2015,"Action, Adventure, Sci-Fi",124,7.0,569512,English
tt0376136,the rum diary  cronache di una passione,2011,"Comedy, Drama",119,6.2,97842,"English, Spanish, German"
tt0377981,gnomeo  giulietta,2011,"Animation, Adventure, Comedy",84,5.9,51582,"English, Japanese, Spanish, German"
tt0383010,i tre marmittoni,2012,"Comedy, Family",92,5.1,29609,English
tt0393049,andersons cross,2010,"Comedy, Drama, Romance",98,5.1,109,English
tt0398286,rapunzel lintreccio della torre,2010,"Animation, Adventure, Comedy",100,7.7,396086,English
tt0401729,john carter,2012,"Action, Adventure, Sci-Fi",132,6.6,251828,English
tt0404978,gambit  una truffa a regola darte,2012,"Comedy, Crime",89,5.7,23208,"English, Japanese"
tt0409847,cowboys  aliens,2011,"Action, Sci-Fi, Thriller",119,6.0,204846,"English, Apache languages"
tt0411951,tekken,2010,"Action, Crime, Drama",87,4.8,25893,"English, Japanese"
tt0423474,venus  vegas,2010,"Action, Comedy, Crime",95,4.1,531,English
tt0427152,a cena con un cretino,2010,Comedy,114,5.9,98349,English
tt0429493,ateam,2010,"Action, Adventure, Thriller",117,6.7,243142,"English, Spanish, French, Swahili, German"
tt0431021,the possession,2012,"Horror, Mystery, Thriller",92,5.9,56120,English
tt0433035,real steel,2011,"Action, Drama, Sci-Fi",127,7.1,293214,"English, Ukrainian"
