title,year,domestic_gross,foreign_gross
pirates of the caribbean on stranger tides,2011,241063875,804600000
avengers age of ultron,2015,459005868,944008095
avengers infinity war,2018,678815482,1369318718
justice league,2017,229024295,426920914
justice league,2017,229024295,426920914
spectre,2015,200074175,679546748
spectre,2015,200074175,679546748
the dark knight rises,2012,448139099,636300000
solo a star wars story,2018,213767512,179383835
the lone ranger,2013,89302115,170700000
john carter,2012,73058679,209719421
tangled,2010,200821936,385655304
captain america civil war,2016,408084349,731985064
batman v superman dawn of justice,2016,330360194,537140087
the hobbit an unexpected journey,2012,303003568,714000000
the hobbit the desolation of smaug,2013,258366855,702000000
the hobbit the battle of the five armies,2014,255119788,690457833
the fate of the furious,2017,225764765,1009081502
pirates of the caribbean dead men tell no tales,2017,172558876,615682261
the avengers,2012,623279547,894656350
man of steel,2013,291045518,376954000
the amazing spiderman,2012,262030663,495859604
battleship,2012,65233400,248244317
transformers the last knight,2017,130168683,472724657
jurassic world,2015,652270625,996584239
men in black 3,2012,179020854,475192631
transformers age of extinction,2014,245439076,858600000
robin hood,2010,105487148,216971858
black panther,2018,700059566,648198658
incredibles 2,2018,608581744,633938967
rogue one a star wars story,2016,532177324,516925532
rogue one a star wars story,2016,532177324,516925532
finding dory,2016,486295561,534919632
toy story 3,2010,415004880,653874642
iron man 3,2013,408992272,806400000
alice in wonderland,2010,334191110,691300000
alice in wonderland,2010,334191110,691300000
skyfall,2012,304360277,806166704
monsters university,2013,268488329,475100000
oz the great and powerful,2013,234770996,255588055
xmen days of future past,2014,233921534,513941241
the amazing spiderman 2,2014,202853933,506142403
cars 2,2011,191450875,368704508
fantastic beasts the crimes of grindelwald,2018,159555901,492664185
green lantern,2011,116601172,102934320
transformers dark of the moon,2011,352390543,771400000
the mummy,2017,80101125,329852780
jack the giant slayer,2013,65187603,132500000
furious 7,2015,353007020,1165715774
star trek into darkness,2013,228778661,238602923
world war z,2013,202359711,329154939
the great gatsby,2013,144840419,206200000
pacific rim,2013,101802906,309200000
the good dinosaur,2015,123087120,210683917
the good dinosaur,2015,123087120,210683917
brave,2012,237282182,317324350
kong skull island,2017,168052812,393019247
star trek beyond,2016,158848340,176953893
blade runner 2049,2017,92054159,167303249
blade runner 2049,2017,92054159,167303249
thor ragnarok,2017,315058289,531921735
thor ragnarok,2017,315058289,531921735
maleficent,2014,241407328,517129407
fantastic beasts and where to find them,2016,234037575,568365278
fantastic beasts and where to find them,2016,234037575,568365278
the legend of tarzan,2016,126643061,222258964
hugo,2011,73864507,106183277
valerian and the city of a thousand planets,2017,40479370,174618986
jupiter ascending,2015,47482519,134500000
xmen apocalypse,2016,155442489,387095057
the meg,2018,145443742,384086973
edge of tomorrow,2014,100206256,270335000
the jungle book,2016,364001123,598853424
inside out,2015,356461711,497774281
spiderman homecoming,2017,334201140,545965210
suicide squad,2016,325100054,420959833
coco,2017,209726015,588282086
coco,2017,209726015,588282086
cars 3,2017,152901115,230640254
king arthur legend of the sword,2017,39175066,100455270
47 ronin,2013,38362475,113354340
jurassic world fallen kingdom,2018,417719760,888053039
guardians of the galaxy,2014,333172112,437695404
iron man 2,2010,312433331,308723058
captain america the winter soldier,2014,259746958,454654931
dawn of the planet of the apes,2014,208545589,502098977
snow white and the huntsman,2012,155136755,245884991
tomorrowland,2015,93436322,113191196
alice through the looking glass,2016,77042381,199885731
shrek forever after,2010,238736787,517507886
doctor strange,2016,232641920,443762646
doctor strange,2016,232641920,443762646
big hero 6,2014,222527828,429600000
big hero 6,2014,222527828,429600000
how to train your dragon,2010,217581232,277289760
wreckit ralph,2012,189412677,307098844
interstellar,2014,188017894,478361481
independence day resurgence,2016,103144286,281025138
beauty and the beast,2017,504014165,755185541
aquaman,2018,335061807,811832833
inception,2010,292576195,542948447
the hunger games mockingjay  part 2,2015,281723902,367262885
the hunger games mockingjay  part 2,2015,281723902,367262885
godzilla,2014,200676069,328400000
xmen first class,2011,146408305,209000000
the sorcerers apprentice,2010,63150991,154835329
warcraft,2016,47225655,378296626
deepwater horizon,2016,61433527,61170297
deepwater horizon,2016,61433527,61170297
the chronicles of narnia the voyage of the dawn treader,2010,104386950,313800000
pacific rim uprising,2018,59874525,231055623
war for the planet of the apes,2017,146880162,342712105
wonder woman,2017,412563408,408569970
frozen,2013,400738009,871731901
zootopia,2016,341268248,678161368
moana,2016,248757044,388760321
moana,2016,248757044,388760321
thor the dark world,2013,206362140,438240376
dunkirk,2017,190068280,309769088
thor,2011,181030624,268295994
kung fu panda 2,2011,165249063,499588484
mad max fury road,2015,153636354,216461666
ready player one,2018,137690172,441599964
the last airbender,2010,131772187,187941694
wrath of the titans,2012,83670083,221600000
dark shadows,2012,79727149,158475519
white house down,2013,73103784,132336603
the wolfman,2010,62189884,80444474
the great wall,2017,45157105,289329747
pan,2015,35088320,116437653
mars needs moms,2011,21392758,18157000
madagascar 3 europes most wanted,2012,216391482,530529789
how to train your dragon 2,2014,177002924,437583346
mr peabody  sherman,2014,111506430,158300000
rise of the guardians,2012,103412758,203488144
ghostbusters,2016,128350574,100658084
captain america the first avenger,2011,176654505,193915271
kung fu panda 3,2016,143528619,374070523
gi joe retaliation,2013,122523060,253217645
exodus gods and kings,2014,65014513,203300000
the bfg,2016,55483770,144162910
gods of egypt,2016,31153464,107683292
the croods,2013,187168425,385900000
the revenant,2015,183637894,349300408
the revenant,2015,183637894,349300408
rango,2011,123477607,122246993
turbo,2013,83028130,203868448
teenage mutant ninja turtles out of the shadows,2016,82051601,163276773
happy feet two,2011,64006466,93950000
the nutcracker and the four realms,2018,54858851,115435048
penguins of madagascar,2014,83350911,283591620
the hunger games catching fire,2013,424668047,440200000
antman and the wasp,2018,216648740,406495920
antman,2015,180202163,338656286
home,2015,177397510,208600386
mary poppins returns,2018,171958438,169570080
puss in boots,2011,149260504,405726973
megamind,2010,148415853,173471355
rio 2,2014,131538435,361307856
salt,2010,118311368,172339126
noah,2014,101200044,251631021
noah,2014,101200044,251631021
the adventures of tintin,2011,77591831,296402120
after earth,2013,60522097,190977568
ripd,2013,33618855,45457823
logan,2017,226277068,389184326
night at the museum secret of the tomb,2014,113746621,240010000
the hunger games mockingjay  part 1,2014,337135885,429439246
fast five,2011,210031325,420132129
teenage mutant ninja turtles,2014,191204754,293800000
sherlock holmes a game of shadows,2011,186848418,348815025
the boss baby,2017,175003033,335875729
clash of the titans,2010,163214888,330000000
trolls,2016,153707064,190443070
trolls,2016,153707064,190443070
prometheus,2012,126477084,275971181
the bourne legacy,2012,113203870,167152050
skyscraper,2018,68420120,235695414
total recall,2012,58877969,152978119
monster trucks,2017,33370166,28272632
jason bourne,2016,162192920,253975396
life of pi,2012,124987022,495924981
rampage,2018,101028233,327028047
elysium,2013,93050117,193141974
oblivion,2013,89107235,198809398
power rangers,2017,85364450,57167102
robocop,2014,58607007,184374792
fantastic four,2015,56117548,111731639
knight and day,2010,76423035,182328335
venom,2018,213511408,640117197
the wolverine,2013,132556852,283900000
gullivers travels,2010,42779261,189238587
ferdinand,2017,84410380,205437550
ferdinand,2017,84410380,205437550
deadpool 2,2018,324591735,462088822
gravity,2013,274092705,419605968
san andreas,2015,155190832,301067707
the smurfs,2011,142614158,421135165
300 rise of an empire,2014,106580051,224200000
passengers,2016,100014699,202224973
passengers,2016,100014699,202224973
the green hornet,2011,98780042,130375461
real steel,2011,85463309,178417032
the ateam,2010,77222099,100019072
the smurfs 2,2013,71017784,277529739
enders game,2013,61737191,66246092
ghost in the shell,2017,40563557,127347133
