imdb_title_id,title,year,genre,num_recommendations,domestic_gross,foreign_gross,total_revenue,foreign_share,genre_filtered
tt1375666      ,inception                                                                                                                                                                                                                                                                                                                                                                                                       ,2010,"Action, Adventure, Sci-Fi",462,292576195,542948447,835524642,0.649829364,Action
tt2911666      ,john wick                                                                                                                                                                                                                                                                                                                                                                                                       ,2014,"Action, Crime, Thriller",316,43037835,33197166,76235001,0.435458327,Action
tt5688932      ,sorry to bother you                                                                                                                                                                                                                                                                                                                                                                                             ,2018,"Comedy, Fantasy, Sci-Fi",292,17493096,792464,18285560,0.043338241,Comedy
tt6499752      ,upgrade                                                                                                                                                                                                                                                                                                                                                                                                         ,2018,"Action, Sci-Fi, Thriller",292,11977130,4576155,16553285,0.276449961,Action
tt1856101      ,blade runner 2049                                                                                                                                                                                                                                                                                                                                                                                               ,2017,"Action, Drama, Mystery",280,92054159,167303249,259357408,0.645068326,Action
tt1856101      ,blade runner 2049                                                                                                                                                                                                                                                                                                                                                                                               ,2017,"Action, Drama, Mystery",280,92054159,167303249,259357408,0.645068326,Action
tt1392190      ,mad max fury road                                                                                                                                                                                                                                                                                                                                                                                               ,2015,"Action, Adventure, Sci-Fi",266,153636354,216461666,370098020,0.584876585,Action
tt3397884      ,sicario                                                                                                                                                                                                                                                                                                                                                                                                         ,2015,"Action, Crime, Drama",263,46889293,37504456,84393749,0.444398506,Action
tt3397884      ,sicario                                                                                                                                                                                                                                                                                                                                                                                                         ,2015,"Action, Crime, Drama",263,46889293,37504456,84393749,0.444398506,Action
tt6998518      ,mandy                                                                                                                                                                                                                                                                                                                                                                                                           ,2018,"Action, Fantasy, Horror",262,1214525,213131,1427656,0.149287363,Horror
tt4925292      ,lady bird                                                                                                                                                                                                                                                                                                                                                                                                       ,2017,"Comedy, Drama",238,48958273,29652496,78610769,0.377206538,Comedy
tt4925292      ,lady bird                                                                                                                                                                                                                                                                                                                                                                                                       ,2017,"Comedy, Drama",238,48958273,29652496,78610769,0.377206538,Comedy
tt3799694      ,the nice guys                                                                                                                                                                                                                                                                                                                                                                                                   ,2016,"Action, Comedy, Crime",232,36261763,23334984,59596747,0.391547948,Action
tt1276104      ,looper                                                                                                                                                                                                                                                                                                                                                                                                          ,2012,"Action, Drama, Sci-Fi",182,66486205,103980200,170466405,0.609974734,Action
tt2494362      ,bone tomahawk                                                                                                                                                                                                                                                                                                                                                                                                   ,2015,"Drama, Horror, Western",180,0,475846,475846,1.0,Horror
tt5013056      ,dunkirk                                                                                                                                                                                                                                                                                                                                                                                                         ,2017,"Action, Drama, History",177,190068280,309769088,499837368,0.619739755,Action
tt2582782      ,hell or high water                                                                                                                                                                                                                                                                                                                                                                                              ,2016,"Action, Crime, Drama",177,27007844,10576460,37584304,0.281406302,Action
tt3783958      ,la la land                                                                                                                                                                                                                                                                                                                                                                                                      ,2016,"Comedy, Drama, Music",170,151101803,275249360,426351163,0.645593079,Comedy
tt3783958      ,la la land                                                                                                                                                                                                                                                                                                                                                                                                      ,2016,"Comedy, Drama, Music",170,151101803,275249360,426351163,0.645593079,Comedy
tt1179933      ,10 cloverfield lane                                                                                                                                                                                                                                                                                                                                                                                             ,2016,"Action, Drama, Horror",167,72082999,36203423,108286422,0.334330217,Horror
tt1922777      ,sinister                                                                                                                                                                                                                                                                                                                                                                                                        ,2012,"Horror, Mystery, Thriller",162,48086903,39640904,87727807,0.451862475,Horror
tt1431045      ,deadpool                                                                                                                                                                                                                                                                                                                                                                                                        ,2016,"Action, Adventure, Comedy",158,363070709,437954884,801025593,0.546742686,Action
tt1371111      ,cloud atlas                                                                                                                                                                                                                                                                                                                                                                                                     ,2012,"Action, Drama, Mystery",148,27108272,103564882,130673154,0.792549034,Action
tt0945513      ,source code                                                                                                                                                                                                                                                                                                                                                                                                     ,2011,"Action, Drama, Mystery",143,54712227,85716272,140428499,0.610390858,Action
tt1605783      ,midnight in paris                                                                                                                                                                                                                                                                                                                                                                                               ,2011,"Comedy, Fantasy, Romance",134,56816662,105686112,162502774,0.650364972,Comedy
tt2096673      ,inside out                                                                                                                                                                                                                                                                                                                                                                                                      ,2015,"Animation, Adventure, Comedy",125,356461711,497774281,854235992,0.58271284,Comedy
tt1675192      ,take shelter                                                                                                                                                                                                                                                                                                                                                                                                    ,2011,"Drama, Horror, Thriller",124,1728953,3243063,4972016,0.652263187,Horror
tt0831387      ,godzilla                                                                                                                                                                                                                                                                                                                                                                                                        ,2014,"Action, Adventure, Sci-Fi",123,200676069,328400000,529076069,0.620704695,Action
tt0944835      ,salt                                                                                                                                                                                                                                                                                                                                                                                                            ,2010,"Action, Mystery, Thriller",114,118311368,172339126,290650494,0.592942828,Action
tt1219827      ,ghost in the shell                                                                                                                                                                                                                                                                                                                                                                                              ,2017,"Action, Crime, Drama",114,40563557,127347133,167910690,0.758421831,Action
tt1250777      ,kickass                                                                                                                                                                                                                                                                                                                                                                                                         ,2010,"Action, Comedy, Crime",111,48071303,49459831,97531134,0.507118383,Action
tt1483013      ,oblivion                                                                                                                                                                                                                                                                                                                                                                                                        ,2013,"Action, Adventure, Sci-Fi",108,89107235,198809398,287916633,0.690510291,Action
tt5247022      ,paterson                                                                                                                                                                                                                                                                                                                                                                                                        ,2016,"Comedy, Drama, Romance",101,2141423,8586113,10727536,0.800380721,Comedy
tt5247022      ,paterson                                                                                                                                                                                                                                                                                                                                                                                                        ,2016,"Comedy, Drama, Romance",101,2141423,8586113,10727536,0.800380721,Comedy
tt1663662      ,pacific rim                                                                                                                                                                                                                                                                                                                                                                                                     ,2013,"Action, Adventure, Sci-Fi",96,101802906,309200000,411002906,0.752306116,Action
tt1677720      ,ready player one                                                                                                                                                                                                                                                                                                                                                                                                ,2018,"Action, Adventure, Sci-Fi",95,137690172,441599964,579290136,0.762312245,Action
tt1396484      ,it                                                                                                                                                                                                                                                                                                                                                                                                              ,2017,Horror,92,327481748,369976221,697457969,0.530463824,Horror
tt1396484      ,it                                                                                                                                                                                                                                                                                                                                                                                                              ,2017,Horror,92,327481748,369976221,697457969,0.530463824,Horror
tt1650062      ,super 8                                                                                                                                                                                                                                                                                                                                                                                                         ,2011,"Action, Adventure, Sci-Fi",91,127004179,130968566,257972745,0.507683732,Action
tt1291584      ,warrior                                                                                                                                                                                                                                                                                                                                                                                                         ,2011,"Action, Drama, Sport",88,13657115,10558270,24215385,0.436014955,Action
tt1232829      ,21 jump street                                                                                                                                                                                                                                                                                                                                                                                                  ,2012,"Action, Comedy, Crime",87,138447667,64364762,202812429,0.317361033,Action
tt1637725      ,ted                                                                                                                                                                                                                                                                                                                                                                                                             ,2012,Comedy,85,218665740,337350887,556016627,0.606728056,Comedy
tt3099498      ,tusk                                                                                                                                                                                                                                                                                                                                                                                                            ,2014,"Comedy, Drama, Horror",84,1821983,65571,1887554,0.034738609,Horror
tt2401878      ,anomalisa                                                                                                                                                                                                                                                                                                                                                                                                       ,2015,"Animation, Comedy, Drama",83,3759286,1946882,5706168,0.341189043,Comedy
tt7153766      ,unsane                                                                                                                                                                                                                                                                                                                                                                                                          ,2018,"Drama, Horror, Mystery",83,7690044,6554887,14244931,0.460155756,Horror
tt2401878      ,anomalisa                                                                                                                                                                                                                                                                                                                                                                                                       ,2015,"Animation, Comedy, Drama",83,3759286,1946882,5706168,0.341189043,Comedy
tt2713180      ,fury                                                                                                                                                                                                                                                                                                                                                                                                            ,2014,"Action, Drama, War",80,85817906,124497775,210315681,0.591956693,Action
tt4695012      ,it comes at night                                                                                                                                                                                                                                                                                                                                                                                               ,2017,"Horror, Mystery",76,13985117,5735086,19720203,0.290822868,Horror
tt0978764      ,sucker punch                                                                                                                                                                                                                                                                                                                                                                                                    ,2011,"Action, Adventure, Fantasy",75,36392502,53365887,89758389,0.59455041,Action
